paper_id,title,year,venue,rule_predicted,rule_confidence,zs_predicted,zs_confidence,hybrid_label,hybrid_confidence,hybrid_method
4afae3559d18a8ccad5da49ccf0243d3b6a97f8b,Exploring the Advances in Using Machine Learning to Identify Technical Debt and Self-Admitted Technical Debt.,2025,SERA,Survey,1.0,Empirical Study,0.7766,Survey,1.0,rule
cce47a17e36f3a3ad3c4fd332640d88bb601b094,Technical Debt Guild: managing technical debt from code up to build.,2023,J. Softw. Eng. Res. Dev.,Unknown,0.0,Experience Report,0.5543,Experience Report,0.5543,zero-shot
dfe29a4356bad366657216504a23839a16577b1e,Asking about Technical Debt: Characteristics and Automatic Identification of Technical Debt Questions on Stack Overflow.,2022,ESEM,Tool Paper,1.0,Empirical Study,0.4521,Tool Paper,1.0,rule
7106d8200b6648797a54fb811aa5a18345476046,Preventing Technical Debt by Technical Debt Aware Project Management.,2021,TechDebt@ICSE,Experience Report,1.0,Empirical Study,0.6906,Experience Report,1.0,rule
19e1b1fdf0fa628925d5079cd13a3df3893fb7f4,On the Relationship between Self-Admitted Technical Debt Removals and Technical Debt Measures.,2020,Algorithms,Unknown,0.0,Empirical Study,0.8877,Empirical Study,0.8877,zero-shot
ecb70fe3a76d479be7a59d89d81b901c33713d7c,Beyond Technical Debt Unravelling Organisational Debt Concept.,2024,SAC,Survey,1.0,Theoretical Contribution,0.8376,Survey,1.0,rule
c5486928115ffb53e7181950d8ee6c9143290346,Different Debt: An Addition to the Technical Debt Dataset and a Demonstration Using Developer Personality.,2024,TechDebt@ICSE,Tool Paper,0.5,Empirical Study,0.8397,Tool Paper,0.5,rule
5d51a5eb683d9a0fa426d384f4de69c992a119fe,Debt Stories: Capturing Social and Technical Debt in the Industry.,2024,TechDebt@ICSE,Unknown,0.0,Empirical Study,0.5236,Empirical Study,0.5236,zero-shot
3e78439618437ddf1a7554166d7423757d262a47,DebtCom: Technical Debt-Aware Service Recomposition in SaaS Cloud.,2023,IEEE Trans. Serv. Comput.,Tool Paper,1.0,Tool Paper,0.3372,Tool Paper,1.0,rule
16dae0b5dca5aa1f6addbe250d06a66b9ef36790,"DebtViz: A Tool for Identifying, Measuring, Visualizing, and Monitoring Self-Admitted Technical Debt.",2023,ICSME,Tool Paper,1.0,Tool Paper,0.5418,Tool Paper,1.0,rule
e913dd7bf614daff35a6407f7a8e4f5bd9d814fd,DebtHunter: A Machine Learning-based Approach for Detecting Self-Admitted Technical Debt.,2021,EASE,Tool Paper,1.0,Tool Paper,0.4913,Tool Paper,1.0,rule
43c1ab325c53da9ad4422127f896340f450f4e9b,How do Technical Debt Payment Practices Relate to the Effects of the Presence of Debt Items in Software Projects?,2021,SANER,Survey,1.0,Empirical Study,0.7769,Survey,1.0,rule
80d375f0c9ce40b053968e0f4c33df593ef3c867,Surveying Software Practitioners on Technical Debt Payment Practices and Reasons for not Paying off Debt Items.,2020,EASE,Survey,1.0,Empirical Study,0.573,Survey,1.0,rule
04e9249e15c26cdc03e7d12f0d826f4292645130,The Danger of Architectural Technical Debt: Contagious Debt and Vicious Circles.,2015,WICSA,Case Study,1.0,Theoretical Contribution,0.3791,Case Study,1.0,rule
4e4fd4b2de610ab361ca493d33c129b5303626d1,Automated Detection of Self-Admitted Technical Debt: A Systematic Literature Review.,2026,IEEE Access,Systematic Literature Review,1.0,Systematic Literature Review,0.5423,Systematic Literature Review,1.0,rule
914e0d4647336b1538c742dc060b2f87a5f4b173,Global Trends and Empirical Metrics in the Evaluation of Code Smells and Technical Debt: A Bibliometric Study.,2025,IEEE Access,Unknown,0.0,Position Paper,0.4254,Position Paper,0.4254,zero-shot
b92d0ebc6257e579591f7fadc7f5ac1c3fbd4716,Predicting Vulnerable Code Changes Using Technical Debt Indicators.,2025,IEEE Access,Unknown,0.0,Empirical Study,0.9278,Empirical Study,0.9278,zero-shot
77ff58544ea3bd7ab1ebef48bc3749025be5ab8a,Estimating Technical Debt Through Changes Related to Code Smells in the Evolution of Software Projects.,2025,IEEE Access,Tool Paper,1.0,Empirical Study,0.6777,Tool Paper,1.0,rule
0e1d662dcf9fb3ee84ba8b347f40d7857e188b6a,"A Systematic Literature Review on Technical Debt in Software Development: Types, Tools, and Concerns.",2025,Int. J. Comb. Optim. Probl. Informatics,Systematic Literature Review,1.0,Empirical Study,0.7558,Systematic Literature Review,1.0,rule
5274bb17474d77693cb6751e2355365bd87d53f3,Technical Debt of Software Projects Based on Merge Code Comments.,2025,J. Softw. Eng. Res. Dev.,Unknown,0.0,Empirical Study,0.6327,Empirical Study,0.6327,zero-shot
ca3c33d15b03cf2c8829ab0bb098920a50176bf7,Technical Debt in Pull Requests: Insights from Apache Projects.,2025,J. Softw. Eng. Res. Dev.,Unknown,0.0,Empirical Study,0.8945,Empirical Study,0.8945,zero-shot
f8a52e7a81c5c3a13ea06b1b3a9c3ce91f7a390e,Predicting software developer sentiment on self-admitted technical debt.,2025,PeerJ Comput. Sci.,Empirical Study,1.0,Empirical Study,0.5861,Empirical Study,1.0,rule
6013f32135bf2788e4d66294123e9afa141deaf8,Understanding and Identifying Technical Debt in the Co-Evolution of Production and Test Code.,2025,IEEE Trans. Software Eng.,Empirical Study,1.0,Empirical Study,0.4775,Empirical Study,1.0,rule
2eb06ecd0718cd2a9ed0edfe7f2b92257a753dac,Unadmitted Technical Debt: Dataset and Detection Approaches.,2025,IEEE Trans. Software Eng.,Tool Paper,1.0,Empirical Study,0.466,Tool Paper,1.0,rule
051c3b5b4cdbddc215ccb0717d6f783c86f8a870,PromptDebt: A Comprehensive Study of Technical Debt Across LLM Projects.,2025,EASE,Empirical Study,1.0,Empirical Study,0.8992,Empirical Study,1.0,rule
015837116c98eddd3d881d82e0c476354937fe58,Racing Against the Clock: Exploring the Impact of Scheduled Deadlines on Technical Debt.,2025,EASE,Unknown,0.0,Empirical Study,0.9224,Empirical Study,0.9224,zero-shot
fd2c845b287d7f8864e1fe8ddc0ffd8ccfa23286,A case study on decoding human factors and socio-technical debt in large scale agile project.,2025,EASE Companion,Case Study,1.0,Empirical Study,0.7035,Case Study,1.0,rule
359c16627d5c086377296ea7dc343f9a1d3f6a64,Product Guardian Role and Socio-Technical Debt Management in Large-Scale Agile.,2025,EASE Companion,Case Study,1.0,Case Study,0.4435,Case Study,1.0,rule
451f395456f1a053d1d1cbf85874dc2a8eb3b55c,How do Community Smells Influence Self-Admitted Technical Debt in Machine Learning Projects?,2025,ESEM,Unknown,0.0,Empirical Study,0.812,Empirical Study,0.812,zero-shot
cddafd1c987981b4ec1e0bc8e6c065c87e91657a,Tracing the Lifecycle of Architecture Technical Debt in Software Systems: A Dependency Approach.,2025,ICSA,Unknown,0.0,Empirical Study,0.842,Empirical Study,0.842,zero-shot
2e4c29eec7e1f9a289f64e18a2312303ad798cd5,An Empirical Study on Software Developer-Related Factors and Technical Debt in Open-Source Software Projects.,2025,ICSEB,Empirical Study,1.0,Empirical Study,0.9555,Empirical Study,1.0,rule
db3d439c205900e6c1c35ad3725a70d9662ba552,AI Mentor System: Building a Technical Debt Dashboard for Low Code.,2025,ICSME,Experience Report,1.0,Empirical Study,0.3864,Experience Report,1.0,rule
5e8d6efd9e15ad541bbe114701496c7bbf235fa5,Combining Insights from Multiple Tools to Manage Technical Debt in Industrial C# Projects.,2025,ICSME,Unknown,0.0,Empirical Study,0.7221,Empirical Study,0.7221,zero-shot
de84dad0faadd2586c4c6f82fb6fd385c92c6e53,Learning About Technical Debt via an Educational Board Game.,2025,ITiCSE,Unknown,0.0,Position Paper,0.8475,Position Paper,0.8475,zero-shot
7756ef763dd2003ab13f344e19c7d603fbf86802,Leveraging Context Information for Self-Admitted Technical Debt Detection.,2025,ICPC,Tool Paper,0.667,Empirical Study,0.5582,Tool Paper,0.667,rule
9899d9965c5e89504abac7c13f61e5739573be59,Evidence is All We Need: Do Self-Admitted Technical Debts Impact Method-Level Maintenance?,2025,MSR,Unknown,0.0,Empirical Study,0.9932,Empirical Study,0.9932,zero-shot
