title,year,venue,doi,url,abstract,paper_id,predicted_type,confidence,unknown_reason,matched_rules
Exploring the Advances in Using Machine Learning to Identify Technical Debt and Self-Admitted Technical Debt.,2025,SERA,10.1109/SERA65747.2025.11154577,https://dblp.org/rec/conf/sera/MelinE25,"Context: In software engineering, technical debt, signifying the compromise between short-term expediency and long-term maintainability, is being addressed by researchers through various machine learning approaches. Objective: This study seeks to provide a reflection on the current research landscape employing machine learning methods for detecting technical debt and self-admitted technical debt in software projects and compare the machine learning research about technical debt and self-admitted technical debt. Method: We performed a literature review of studies published up to 2024 that discuss technical debt and self-admitted technical debt identification using machine learning. Results: Our findings reveal the utilization of a diverse range of machine learning techniques, with BERT models proving significantly more effective than others. Conclusions: This study demonstrates that although the performance of techniques has improved over the years, no universally adopted approach reigns supreme. The results suggest prioritizing BERT techniques over others in future works.",4afae3559d18a8ccad5da49ccf0243d3b6a97f8b,Survey,1.0,,\bliterature review\b
Technical Debt Guild: managing technical debt from code up to build.,2023,J. Softw. Eng. Res. Dev.,10.5753/JSERD.2023.2417,https://dblp.org/rec/journals/jserd/DetofenoMR23,"Efficient Technical Debt Management (TDM) requires specialized guidance so that decisions taken are oriented to add value to the business. Because it is a complex problem that involves several variables, TDM requires a systemic look that considers professionals' experiences from different specialties. Guilds have been a means technology companies have united specialized professionals around a common interest, especially those using the Spotify methodology. This paper presents the experience of implementing a guild to support TDM's activities in a software development organization using the action research method. The project lasted three years, and approximately 120 developers were involved in updating about 63,300 source-code files, 2,314 test cases, 2,097 automated test scripts, and the build pipeline. The actions resulting from the TDM guild's efforts impacted the company's culture by introducing new software development practices and standards. Besides, they positively influenced the quality of the artifacts delivered by the developers. This study shows that, as the company acquires maturity in TDM, it increases the need for professionals dedicated to TDM's activities.",cce47a17e36f3a3ad3c4fd332640d88bb601b094,Unknown,0.0,no_match,
Asking about Technical Debt: Characteristics and Automatic Identification of Technical Debt Questions on Stack Overflow.,2022,ESEM,10.1145/3544902.3546245,https://dblp.org/rec/conf/esem/KozanidisVG22,"Background: Q&A sites allow to study how users reference and request support on technical debt. To date only few studies, focusing on narrow aspects, investigate technical debt on Stack Overflow. Aims: We aim at gaining an in-depth understanding on the characteristics of technical debt questions on Stack Overflow. In addition, we assess if identification strategies based on machine learning can be used to automatically identify and classify technical debt questions. Method: We use automated and manual processes to identify technical debt questions on Stack Overflow. The final set of 415 questions is analyzed to study (i) technical debt types, (ii) question length, (iii) perceived urgency, (iv) sentiment, and (v) themes. Natural language processing and machine learning techniques are used to assess if questions can be identified and classified automatically. Results: Architecture debt is the most recurring debt type, followed by code and design debt. Most questions display mild urgency, with frequency of higher urgency steadily declining as urgency rises. Question length varies across debt types. Sentiment is mostly neutral. 29 recurrent themes emerge. Machine learning can be used to identify technical debt questions and binary urgency, but not debt types. Conclusions: Different patterns emerge from the analysis of technical debt questions on Stack Overflow. The results provide further insights on the phenomenon, and support the adoption of a more comprehensive strategy to identify technical debt questions.",dfe29a4356bad366657216504a23839a16577b1e,Tool Paper,1.0,,\bautomatically\s+(?:identif|detect|classif|extract|predict)
Preventing Technical Debt by Technical Debt Aware Project Management.,2021,TechDebt@ICSE,10.1109/TECHDEBT52882.2021.00018,https://dblp.org/rec/conf/icse/WieseRS21,"Technical Debts (TD) are problems of the internal software quality. They are often contracted due to tight project deadlines, for example quick fixes and workarounds, and can make future changes more costly or impossible. TD prevention should be more important than TD repayment, because subsequent refactoring and reengineering is usually more expensive than building the right solution from the beginning. While there are numerous works on TD repayment, solutions for TD prevention are understudied. This paper evaluates a framework that focuses on both TD prevention and TD repayment. It was developed by and applied in an IT unit of a publishing house. The unique contribution of this framework is the integration of TD management into project management. The evaluation was carried out by a study based on ticket statistics and a structured survey with participants from the observed IT unit and a comparison unit. The evaluation shows that the adoption of this framework leads to a raised awareness for the contraction of TD. This results in benefits like more rational discussions and decisions, TD prevention and timelier repayment of TD tickets.",7106d8200b6648797a54fb811aa5a18345476046,Experience Report,1.0,,"\bapplied (?:in|at|within)\b.{0,30}\b(?:organi[sz]ation|compan|unit|team|firm|enterprise|department|division)"
On the Relationship between Self-Admitted Technical Debt Removals and Technical Debt Measures.,2020,Algorithms,10.3390/A13070168,https://dblp.org/rec/journals/algorithms/AversanoICVN20,"The technical debt (TD) in a software project refers to the adoption of an inadequate solution from its design to the source code. When developers admit the presence of technical debt in the source code, through comments or commit messages, it is called self-admitted technical debt (SATD). This aspect of TD has been the subject of numerous research studies, which have investigated its distribution, the impact on software quality, and removal. Therefore, this work focuses on the relationship between SATD and TD values. In particular, the study aims to compare the admitted technical debt with respect to its objective measure. In fact, the trends of TD values during SATD removals have been studied. This was done thanks to the use of an SATD dataset and their related removals in four open source projects. Instead, the SonarQube tool was used to measure TD values. Thanks to this work, it turned out that SATD removals in a few cases correspond to an effective reduction of TD values, while in numerous cases, the classes indicated are removed.",19e1b1fdf0fa628925d5079cd13a3df3893fb7f4,Unknown,0.0,no_match,
Beyond Technical Debt Unravelling Organisational Debt Concept.,2024,SAC,10.1145/3605098.3635913,https://dblp.org/rec/conf/sac/AhmadA24,"The development of software and systems is a complex task that involves social, technical and organisational factors. Technical debt is a well-known concept that refers to the negative consequences of taking shortcuts in software development. However, organisational debt (OD) is a less well-known phenomenon that arises due to shortcuts in the organisational structure and processes of a software organisation. The lack of a clearly defined OD makes it difficult to identify and manage this type of debt. This study presents a multi-vocabulary literature review that consolidates an understanding of the nature of OD and its impact on software organisations. OD encompasses a set of attributes, precedents and outcomes. In addition, this study highlights the five causes and mitigation strategies of OD. The results of this study indicate that software companies are facing a major issue with OD. Future research should include empirical studies to validate techniques that can assist software professionals in managing OD to address this issue.",ecb70fe3a76d479be7a59d89d81b901c33713d7c,Survey,1.0,,\bliterature review\b
Different Debt: An Addition to the Technical Debt Dataset and a Demonstration Using Developer Personality.,2024,TechDebt@ICSE,10.1145/3644384.3644475,https://dblp.org/rec/conf/techdebt/Graf-Vlachy024,"Background: The ""Technical Debt Dataset"" (TDD) is a comprehensive dataset on technical debt (TD) in the main branches of more than 30 Java projects. However, some TD items produced by Sonar-Qube are not included for many commits, for instance because the commits failed to compile. This has limited previous studies using the dataset.Aims and Method: In this paper, we provide an addition to the dataset that includes an analysis of 278,320 commits of all branches in a superset of 37 projects using Teamscale. We then demonstrate the utility of the dataset by exploring the relationship between developer personality by replicating a prior study.Results: The new dataset allows us to use a larger sample than prior work could, and we analyze the personality of 111 developers and 5,497 of their commits. The relationships we find between developer personality and the introduction and removal of TD differ from those found in prior work.Conclusions: We offer a dataset that may enable future studies into the topic of TD and we provide additional insights on how developer personality relates to TD.CCS CONCEPTS• Software and its engineering → Maintaining software; Risk management; • Human-centered computing → Open source software; • Social and professional topics → Systems development; Software maintenance; User characteristics; • General and reference → Empirical studies;",c5486928115ffb53e7181950d8ee6c9143290346,Tool Paper,0.5,,\bdemonstration\b
Debt Stories: Capturing Social and Technical Debt in the Industry.,2024,TechDebt@ICSE,10.1145/3644384.3644473,https://dblp.org/rec/conf/techdebt/RiquetDV24,"In today’s organizations, software is mission-critical. However, the legacy of past decisions can make tasks related to artifacts increasingly inefficient or risky, creating debt. While most researchers and practitioners mainly focus on technical debt, some have investigated its social dimensions, known as social debt. We argue that organizations developing software need to tackle debt holistically, as it is intrinsically a socio-technical issue. In this short paper, we rely on a definition of socio-technical debt based on the existing literature to define Debt Stories: a tool based on the User Story format, that can help capture debt elements directly from the stake-holders involved in software development. A debt story includes information about the role of the stakeholder in the development process, the social or technical context, and the impact of the debt element on the different tasks performed by the stakeholder. We provide a first empirical evaluation of the usage of Debt Stories in an industrial context, demonstrating the relevance of Debt Stories to express and communicate socio-technical debt.CCS CONCEPTS• Software and its engineering → Agile software development, Software maintenance tools, • Social and professional topics →Software maintenance",5d51a5eb683d9a0fa426d384f4de69c992a119fe,Unknown,0.0,tie:Empirical Study|Experience Report|Position Paper,\bempirical evaluation\b; \bin an? (?:industrial|industry|real[- ]world|production) (?:setting|context|environment)\b; \bwe argue\b
DebtCom: Technical Debt-Aware Service Recomposition in SaaS Cloud.,2023,IEEE Trans. Serv. Comput.,10.1109/TSC.2023.3237043,https://dblp.org/rec/journals/tsc/KumarCBB23,"Given the changing workloads from the tenants, it is not uncommon for a service composition running in the multi-tenant SaaS cloud to encounter under-utilization and over-utilization on the component services. Both cases are undesirable and it is therefore nature to mitigate them by recomposing the services to a newly optimized composition plan once they have been detected. However, this ignores the fact that under-/over-utilization can be merely caused by temporary effects, and thus the advantages may be short-term, which hinders the long-term benefits that could have been created by the original composition plan, while generating unnecessary overhead and disturbance via recomposition. In this article, we propose DebtCom, a framework that determines whether to trigger recomposition based on the technical debt metaphor and time-series prediction of workload. In particular, we propose a service debt model, which has been explicitly designed for the context of service composition, to quantify the debt. Our core idea is that recomposition can be unnecessary if the under-/over-utilization only cause temporarily negative effects, and the current composition plan, although carries debt, can generate greater benefit in the long-term. We evaluate DebtCom on a large scale service system with up to 10 abstract services, each of which has 100 component services, under real-world dataset and workload traces. The results confirm that, in contrast to the state-of-the-art, DebtCom achieves better utility while having lower cost and number of recompositions, rendering each composition plan more sustainable.",3e78439618437ddf1a7554166d7423757d262a47,Tool Paper,1.0,,"\bwe (?:propose|present|introduce|develop|design|build|implement)\b.{0,45}\b(?:approach|method|methodolog|technique|framework|model|classifier|tool|system|dataset|data set|index|metric|pipeline|algorithm|plug[- ]?in|prototype)\b"
"DebtViz: A Tool for Identifying, Measuring, Visualizing, and Monitoring Self-Admitted Technical Debt.",2023,ICSME,10.1109/ICSME58846.2023.00072,https://dblp.org/rec/conf/icsm/LiSAI23,"Technical debt, specifically Self-Admitted Technical Debt (SATD), remains a significant challenge for software developers and managers due to its potential to adversely affect long-term software maintainability. Although various approaches exist to identify SATD, tools for its comprehensive management are notably lacking. This paper presents DebtViz, an innovative SATD tool designed to automatically detect, classify, visualize and monitor various types of SATD in source code comments and issue tracking systems. DebtViz employs a Convolutional Neural Network-based approach for detection and a deconvolution technique for keyword extraction. The tool is structured into a back-end service for data collection and pre-processing, a SATD classifier for data categorization, and a front-end module for user interaction. DebtViz not only makes the management of SATD more efficient but also provides in-depth insights into the state of SATD within software systems, fostering informed decision-making on managing it. The scalability and deployability of DebtViz also make it a practical tool for both developers and managers in diverse software development environments. The source code of DebtViz is available at https://github.com/yikun-li/visdom-satd-management-system and the demo of DebtViz is at https://youtu.be/QXH6Bj0HQew.",16dae0b5dca5aa1f6addbe250d06a66b9ef36790,Tool Paper,1.0,,"\bthe tool (?:supports?|allows?|enables?|provides?|is)\b; \b(?:a |the |our )?tool (?:for|to|that|which|supports?|called)\b; \b(?:github|gitlab)\.com/\S+; \bavailable (?:at|on)\b.{0,30}\bhttp; \bautomatically\s+(?:identif|detect|classif|extract|predict)"
